date,merchant,category,amount,payment_method,notes
2026-01-02,McDonald's,Food & Dining,12.50,Credit Card,Lunch with coworker
2026-01-03,Starbucks,Food & Dining,6.75,Debit Card,Morning coffee
2026-01-05,Shell Gas,Transportation,45.00,Credit Card,Gas fill-up
2026-01-07,Amazon,Shopping,34.99,Credit Card,Wireless headphones
2026-01-08,Trader Joe's,Groceries,67.23,Debit Card,Weekly groceries
2026-01-10,Netflix,Entertainment,15.99,Credit Card,Monthly subscription
2026-01-12,McDonald's,Food & Dining,8.99,Credit Card,Drive-through dinner
2026-01-14,Uber,Transportation,22.50,Credit Card,Ride to airport
2026-01-15,Costco,Groceries,145.67,Debit Card,Bulk shopping
2026-01-17,Spotify,Entertainment,9.99,Credit Card,Monthly subscription
2026-01-18,Starbucks,Food & Dining,5.50,Debit Card,Afternoon latte
2026-01-20,CVS Pharmacy,Health,23.45,Credit Card,Cold medicine
2026-01-22,McDonald's,Food & Dining,15.75,Credit Card,Family meal
2026-01-23,Target,Shopping,52.30,Debit Card,Household items
2026-01-25,Chipotle,Food & Dining,11.25,Credit Card,Lunch
2026-01-27,AT&T,Utilities,85.00,Credit Card,Phone bill
2026-01-28,Starbucks,Food & Dining,7.25,Debit Card,Coffee and pastry
2026-01-30,Whole Foods,Groceries,89.45,Debit Card,Organic groceries
2026-02-01,McDonald's,Food & Dining,9.50,Credit Card,Breakfast
2026-02-03,Amazon,Shopping,19.99,Credit Card,Phone case
2026-02-05,Shell Gas,Transportation,42.00,Credit Card,Gas fill-up
2026-02-07,Gym Membership,Health,49.99,Credit Card,Monthly fee
2026-02-09,Starbucks,Food & Dining,6.00,Debit Card,Cold brew
2026-02-10,Trader Joe's,Groceries,55.80,Debit Card,Weekly groceries
2026-02-12,Uber Eats,Food & Dining,28.50,Credit Card,Dinner delivery
2026-02-14,Flowers.com,Shopping,65.00,Credit Card,Valentine's flowers
2026-02-16,McDonald's,Food & Dining,7.25,Credit Card,Quick lunch
2026-02-18,Electric Company,Utilities,120.00,Debit Card,Monthly bill
2026-02-20,Apple,Shopping,14.99,Credit Card,iCloud storage
2026-02-22,Costco,Groceries,132.40,Debit Card,Monthly stock-up
